175 350
0 125 1609
1 126 1000000
0 1 1000000
2 127 1609
1 2 1000000
3 128 1000000
2 3 1000000
4 129 1609
3 4 1609
5 130 1609
0 5 1609
6 131 1000000
1 6 1000000
5 6 1609
7 132 1000000
2 7 1000000
6 7 1000000
8 133 1000000
3 8 1000000
7 8 1000000
9 134 955
4 9 1000000
8 9 1609
10 135 1000000
5 10 1000000
11 136 1609
6 11 1609
10 11 1000000
12 137 1609
7 12 1000000
11 12 1000000
13 138 1000000
8 13 1609
12 13 1000000
14 139 1000000
9 14 1000000
13 14 955
15 140 1609
10 15 1000000
16 141 1000000
11 16 1000000
15 16 1000000
17 142 1000000
12 17 1000000
16 17 1000000
18 143 1609
13 18 1000000
17 18 1000000
19 144 1000000
14 19 610
18 19 1609
20 145 1000000
15 20 1609
21 146 1609
16 21 1000000
20 21 1000000
22 147 955
17 22 1609
21 22 1609
23 148 1000000
18 23 1000000
22 23 1000000
24 149 1000000
19 24 1000000
23 24 1000000
0 25 1609
1 26 610
25 26 1609
2 27 1609
26 27 1000000
3 28 1609
27 28 1609
4 29 1000000
28 29 1000000
5 30 1000000
25 30 1000000
6 31 955
26 31 1609
30 31 1609
7 32 1000000
27 32 1000000
31 32 1000000
8 33 1000000
28 33 1000000
32 33 1000000
9 34 1000000
29 34 1609
33 34 1000000
10 35 1000000
30 35 955
11 36 1000000
31 36 1000000
35 36 1609
12 37 1000000
32 37 1000000
36 37 1000000
13 38 1609
33 38 1609
37 38 1000000
14 39 1000000
34 39 1000000
38 39 1000000
15 40 1609
35 40 1609
16 41 1000000
36 41 1000000
40 41 1000000
17 42 955
37 42 1000000
41 42 1609
18 43 610
38 43 1000000
42 43 1000000
19 44 1000000
39 44 610
43 44 1609
20 45 1000000
40 45 1000000
21 46 1609
41 46 1000000
45 46 1000000
22 47 1000000
42 47 1000000
46 47 1609
23 48 1609
43 48 1000000
47 48 1000000
24 49 1000000
44 49 1000000
48 49 1000000
25 50 1000000
26 51 955
50 51 1000000
27 52 1000000
51 52 1609
28 53 1000000
52 53 1000000
29 54 1609
53 54 1000000
30 55 1000000
50 55 1000000
31 56 1609
51 56 1000000
55 56 1000000
32 57 1609
52 57 1000000
56 57 1000000
33 58 1000000
53 58 1000000
57 58 1000000
34 59 1000000
54 59 1609
58 59 1000000
35 60 1000000
55 60 1000000
36 61 955
56 61 1000000
60 61 1609
37 62 1609
57 62 1000000
61 62 1000000
38 63 1000000
58 63 1609
62 63 1000000
39 64 1609
59 64 1000000
63 64 1000000
40 65 1000000
60 65 1000000
41 66 1000000
61 66 1000000
65 66 1609
42 67 1000000
62 67 1000000
66 67 1609
43 68 1000000
63 68 1000000
67 68 1000000
44 69 1609
64 69 1000000
68 69 1000000
45 70 1000000
65 70 1000000
46 71 1609
66 71 1000000
70 71 1609
47 72 1609
67 72 1000000
71 72 1000000
48 73 1609
68 73 1000000
72 73 1000000
49 74 1609
69 74 1609
73 74 1000000
50 75 1000000
51 76 1609
75 76 1000000
52 77 1609
76 77 1000000
53 78 1000000
77 78 1000000
54 79 1000000
78 79 1000000
55 80 955
75 80 1000000
56 81 1609
76 81 1000000
80 81 1609
57 82 1609
77 82 1000000
81 82 1000000
58 83 1609
78 83 1609
82 83 1000000
59 84 1609
79 84 1000000
83 84 1000000
60 85 1609
80 85 1609
61 86 1609
81 86 1609
85 86 1000000
62 87 1609
82 87 1000000
86 87 1609
63 88 1000000
83 88 1000000
87 88 1000000
64 89 955
84 89 1000000
88 89 1000000
65 90 264
85 90 1000000
66 91 1000000
86 91 1000000
90 91 1000000
67 92 1000000
87 92 1000000
91 92 1000000
68 93 1609
88 93 1000000
92 93 1000000
69 94 1000000
89 94 1000000
93 94 1609
70 95 1609
90 95 955
71 96 1000000
91 96 1000000
95 96 1000000
72 97 955
92 97 1609
96 97 1000000
73 98 1609
93 98 1000000
97 98 1000000
74 99 1000000
94 99 1000000
98 99 1000000
75 100 1609
76 101 1000000
100 101 1000000
77 102 1609
101 102 1000000
78 103 1609
102 103 1000000
79 104 1000000
103 104 1609
80 105 1000000
100 105 955
81 106 1609
101 106 955
105 106 1000000
82 107 1000000
102 107 955
106 107 1000000
83 108 610
103 108 1609
107 108 1000000
84 109 1000000
104 109 1000000
108 109 1000000
85 110 1000000
105 110 1609
86 111 1000000
106 111 1000000
110 111 955
87 112 1609
107 112 1000000
111 112 1609
88 113 1609
108 113 1609
112 113 1000000
89 114 1000000
109 114 1000000
113 114 1609
90 115 1609
110 115 1000000
91 116 1000000
111 116 1000000
115 116 1000000
92 117 955
112 117 1000000
116 117 1000000
93 118 1609
113 118 1000000
117 118 1000000
94 119 1609
114 119 1000000
118 119 1000000
95 120 1000000
115 120 1000000
96 121 1000000
116 121 1609
120 121 1609
97 122 1000000
117 122 1000000
121 122 1000000
98 123 1000000
118 123 1000000
122 123 1609
99 124 1609
119 124 1000000
123 124 1000000
100 150 1000000
101 151 1000000
102 152 1609
103 153 1609
104 154 1609
105 155 1609
106 156 610
107 157 1000000
108 158 1609
109 159 1000000
110 160 1000000
111 161 955
112 162 1000000
113 163 1000000
114 164 1000000
115 165 1000000
116 166 1000000
117 167 1609
118 168 1000000
119 169 1609
120 170 1609
121 171 1609
122 172 1000000
123 173 1609
124 174 1609
