54 378
4 9 1000000
4 15 1012218
4 22 2008001
4 23 2006392
4 29 1000000
4 35 1009000
4 39 1009221
4 40 1010609
4 42 2007002
4 43 1007002
4 46 2011219
4 48 2007002
4 54 1001609
4 57 1006436
4 61 1011564
4 65 2010609
4 71 2012828
4 82 1008045
4 87 1012872
4 95 2011828
4 103 2004827
4 106 1011263
4 111 1016090
4 113 2007046
4 121 2017699
4 123 3010220
9 15 1017045
9 22 1008001
9 23 1006392
9 29 1001609
9 35 1013827
9 39 9221
9 40 1015436
9 42 1007002
9 43 7002
9 46 1011219
9 48 1007002
9 54 1003218
9 57 1008045
9 61 1011263
9 65 1017265
9 71 1012828
9 82 1009654
9 87 1008045
9 95 1016046
9 103 1010264
9 106 1012872
9 111 1011263
9 113 1010264
9 121 2012872
9 123 2010220
15 22 1003218
15 23 2003218
15 29 2009000
15 35 3218
15 39 1019830
15 40 1609
15 42 1003218
15 43 1017611
15 46 1003218
15 48 2004827
15 54 2009955
15 57 1007391
15 61 5782
15 65 1001609
15 71 1004827
15 82 1009000
15 87 9000
15 95 1002828
15 103 1013173
15 106 10609
15 111 12218
15 113 1010609
15 121 1013827
15 123 2009000
22 23 1000000
22 29 2006047
22 35 1005782
22 39 1004438
22 40 1004173
22 42 2564
22 43 1002219
22 46 3218
22 48 1001609
22 54 2007656
22 57 2004173
22 61 1005128
22 65 9264
22 71 4827
22 82 2005782
22 87 1005782
22 95 8045
22 103 2009610
22 106 1009955
22 111 1009000
22 113 2007391
22 121 1009654
22 123 1009000
23 29 2004438
23 35 2005782
23 39 1002829
23 40 2004173
23 42 1002564
23 43 1000610
23 46 1003218
23 48 1609
23 54 2006047
23 57 2008001
23 61 2005128
23 65 1009264
23 71 1004827
23 82 2009610
23 87 2005782
23 95 1008045
23 103 2008655
23 106 2009955
23 111 2008346
23 113 2006436
23 121 2006436
23 123 1004827
29 35 2005782
29 39 1001609
29 40 2007391
29 42 2003828
29 43 1003828
29 46 2009265
29 48 2003828
29 54 1609
29 57 2003218
29 61 2008346
29 65 2015311
29 71 2010874
29 82 2004827
29 87 2006436
29 95 2014092
29 103 1007046
29 106 2008045
29 111 2008655
29 113 1007046
29 121 3010264
29 123 3007046
